,GHI(W/m2),DHI(W/m2),DNI(W/m2),TEMPERATURE,R.HUMIDITY,WINDSPEED,CABLE#1,CABLE#2,CABLE#3,CABLE#4,CABLE#5,TX(LV)
0,0.0,0.0,1.0,23.2,95.26,11.9,0.0,0,0.0,0.0,0.0,0.0
1,261.0,145.0,436.0,24.3,89.7,17.6,2.68,2.74,2.68,2.75,1.77,12.16
2,123.0,127.0,5.0,25.8,80.06,22.7,4.68,3.03,2.71,1.86,0.88,12.52
3,775.0,205.0,748.0,28.2,69.53,22.3,6.64,7.77,7.47,7.93,4.62,35.92
4,936.0,129.0,870.0,28.3,66.23,23.8,8.77,8.87,8.8,8.86,5.76,41.68
5,1131.0,211.0,883.0,29.1,62.07,23.4,5.77,10.66,6.72,10.45,6.88,41.49
6,681.0,373.0,245.0,32.1,47.95,33.5,8.29,3.89,8.3,3.84,3.93,28.36
7,367.0,354.0,9.0,30.3,55.82,21.6,5.57,3.04,4.08,3.22,2.13,19.16
8,1192.0,401.0,863.0,30.6,53.2,20.5,3.09,4.11,3.17,6.75,4.46,22.37
9,236.0,163.0,92.0,34.1,41.54,27.7,7.71,7.56,7.66,7.43,3.16,35.08
10,579.0,156.0,725.0,30.3,51.82,18.4,4.99,5.19,4.46,5.11,3.36,23.74
11,58.0,68.0,1.0,28.9,59.41,14.4,0.5,0.54,0.54,0.55,0.36,2.88
13,0.0,0.0,1.0,21.2,96.97,11.5,0.0,0,0.0,0.0,0.0,0.0
14,171.0,182.0,345.0,23.1,88.52,18.0,1.79,1.8,1.77,1.81,1.18,7.66
15,221.0,222.0,0.0,25.7,74.37,24.1,2.44,2.43,2.51,2.56,1.52,11.55
16,241.0,237.0,1.0,26.7,72.73,25.9,5.52,2.95,6.12,2.83,1.61,19.45
17,380.0,353.0,12.0,30.0,54.05,25.6,9.97,7.35,10.11,7.05,2.31,38.28
18,1182.0,298.0,847.0,31.8,46.69,25.6,6.04,9.35,9.69,7.91,6.86,41.82
19,1150.0,185.0,863.0,31.2,48.01,48.2,9.84,9.73,9.91,10.03,6.48,47.95
20,1042.0,137.0,875.0,34.0,39.24,24.8,9.37,9.42,9.38,9.44,6.16,44.79
21,976.0,237.0,807.0,34.5,37.68,24.8,6.02,8.15,7.68,5.97,5.18,33.9
22,773.0,201.0,763.0,33.2,39.02,37.1,7.19,7.3,7.25,7.34,4.71,34.63
23,364.0,164.0,403.0,33.4,39.32,24.8,3.25,2.21,3.93,2.62,1.46,13.79
24,224.0,85.0,487.0,31.6,44.64,24.1,1.76,1.77,1.74,1.73,1.11,8.6
26,0.0,0.0,1.0,22.0,93.48,12.6,0.0,0,0.0,0.0,0.0,0.0
27,66.0,69.0,0.0,23.5,86.41,15.8,0.66,0.7,0.68,0.7,0.45,3.3
28,205.0,202.0,6.0,25.8,72.57,19.8,5.91,5.36,5.94,4.54,1.29,24.26
29,824.0,278.0,728.0,27.7,69.86,37.1,7.53,7.85,7.57,7.82,5.36,37.48
30,335.0,307.0,19.0,29.8,55.02,22.7,10.11,8.96,9.99,7.69,3.82,41.96
31,1188.0,381.0,768.0,31.7,48.44,23.4,5.22,5.25,5.25,5.36,6.55,27.77
32,444.0,393.0,7.0,31.2,50.46,18.4,4.17,4.04,4.16,4.09,2.83,19.73
33,1155.0,322.0,797.0,34.0,41.0,24.1,5.78,9.37,5.14,10.12,6.52,38.42
34,937.0,222.0,793.0,34.3,39.82,24.1,8.64,8.64,8.68,8.73,5.67,41.42
35,746.0,232.0,679.0,34.1,40.26,22.3,6.71,5.58,7.04,6.83,3.8,31.59
36,339.0,158.0,416.0,33.1,41.27,24.1,4.55,4.48,4.55,4.49,2.22,21.5
37,204.0,98.0,383.0,31.6,45.49,22.7,1.62,1.59,1.63,1.6,1.01,8.27
39,0.0,0.0,1.0,22.9,94.68,12.6,0.0,0,0.0,0.0,0.0,0.0
40,144.0,150.0,1.0,24.4,87.02,18.4,1.55,1.61,1.73,1.72,1.13,7.94
41,138.0,143.0,0.0,26.8,72.3,22.0,1.97,1.68,1.99,1.64,0.96,8.7
42,329.0,292.0,53.0,27.7,72.9,29.5,4.69,8.16,3.28,7.59,3.45,27.46
43,299.0,272.0,23.0,31.4,50.83,20.9,9.1,6.11,9.12,6.71,2.09,34.16
44,387.0,322.0,44.0,33.1,44.76,20.5,9.96,10.27,10.02,10.33,6.28,48.18
45,1135.0,215.0,818.0,32.1,48.55,18.4,9.65,8.24,9.77,9.54,6.4,44.95
46,1116.0,271.0,809.0,35.1,38.09,19.4,5.28,5.06,8.22,5.38,6.36,31.59
47,946.0,239.0,776.0,35.5,36.79,19.4,8.66,8.76,8.74,8.7,5.32,40.92
48,822.0,264.0,727.0,35.1,39.05,29.5,6.05,7.45,5.06,7.43,4.75,32.11
49,630.0,270.0,614.0,34.3,38.59,19.8,4.67,5.45,5.06,5.46,3.62,24.59
50,217.0,95.0,434.0,32.8,42.5,19.4,1.66,1.6,1.61,1.6,1.03,8.32
52,0.0,0.0,1.0,21.8,95.22,11.5,0.0,0,0.0,0.0,0.0,0.0
53,94.0,95.0,5.0,24.1,81.82,18.4,1.91,1.19,1.94,1.49,0.69,7.05
54,227.0,211.0,24.0,26.7,67.14,22.0,2.52,1.98,2.84,2.06,1.34,11.6
55,742.0,299.0,361.0,28.1,69.08,29.5,2.2,2.62,2.16,2.47,2.47,11.6
56,926.0,194.0,785.0,31.3,45.12,22.3,8.78,8.77,8.8,8.8,5.68,42.12
57,1223.0,384.0,794.0,33.3,38.56,22.7,9.67,10.13,9.79,10.24,6.68,47.45
58,1131.0,207.0,822.0,32.2,48.27,11.2,9.66,9.74,9.73,9.76,6.4,46.51
59,1173.0,290.0,850.0,35.8,32.71,22.0,9.96,10.21,10.04,10.18,6.42,48.02
60,923.0,186.0,817.0,36.1,32.18,22.3,8.29,8.37,8.56,8.42,5.43,40.19
61,766.0,222.0,720.0,25.6,69.89,18.4,3.83,5.09,4.61,2.66,3.35,19.68
62,149.0,142.0,35.0,34.6,35.86,24.1,4.31,3.19,4.32,3.19,0.82,16.26
63,119.0,89.0,131.0,32.8,41.19,24.8,0.76,0.77,0.74,0.75,0.69,3.54
65,0.0,0.0,0.0,22.4,91.8,14.8,0.0,0,0.0,0.0,0.0,0.0
66,168.0,178.0,2.0,24.1,83.34,18.7,1.78,1.72,1.79,1.72,1.09,8.51
67,538.0,251.0,602.0,26.8,70.12,23.0,3.75,5.27,4.85,5.43,3.42,24.0
68,817.0,260.0,735.0,28.1,67.0,14.8,7.52,7.7,7.51,7.76,5.2,36.82
